name	RS	TAX	
Clitocybe odora virus	NC_017003	1162083	
Cryphonectria parasitica mitovirus 1-NB631	NC_004046	186769	
Dahlia pinnata mitovirus 1	NC_076528	2080459	
Epicoccum nigrum mitovirus 1	NC_076693	2587536	
Fusarium boothii mitovirus 1	NC_076604	2364128	
Fusarium poae mitovirus 3	NC_030863	1848152	
Fusarium poae mitovirus 4	NC_030864	1848153	
Gigaspora margarita mitovirus 1	NC_040702	2082665	
Gigaspora margarita mitovirus 2	NC_040816	2082666	
Gigaspora margarita mitovirus 3	NC_040559	2082667	
Gigaspora margarita mitovirus 4	NC_040560	2082668	
Heterobasidion mitovirus 1	NC_076572	1521172	
Heterobasidion mitovirus 3	NC_076718,NC_076719	2603543	
Humulus lupulus mitovirus 1	NC_076529	2080461	
Neofusicoccum parvum mitovirus 1	NC_076695	2587538	
Nigrospora oryzae mitovirus 1	NC_076650	2497444	
Ophiostoma mitovirus 1a	NC_076518	348094	
Ophiostoma mitovirus 1b	NC_076519	348095	
Ophiostoma mitovirus 1c	NC_076560	1387983	
Ophiostoma mitovirus 3a	NC_004049	198597	
Ophiostoma mitovirus 3b	NC_076520	348096	
Oxybasis rubra mitovirus 1	NC_076526	2080462	
Petunia exserta mitovirus 1	NC_076525	2080463	
Rhizoctonia cerealis mitovirus	NC_076574	1561961	
Rhizophagus irregularis mitovirus 1	NC_040585	2320186	
Rhizoctonia solani mitovirus 21	NC_076669	2599414	
Rhizoctonia solani mitovirus 25	NC_076670	2599416	
Rhizoctonia solani mitovirus 26	NC_076671	2599417	
Rhizoctonia solani mitovirus 27	NC_076672	2599418	
Rhizoctonia solani mitovirus 31	NC_076674	2599422	
Rhizoctonia solani mitovirus 32	NC_076675	2599423	
Rhizoctonia solani mitovirus 34	NC_076676	2599425	
Sclerotinia homoeocarpa mitovirus	NC_076521	217362	
Sclerotinia nivalis mitovirus 2	NC_076588	1859166	
Sclerotinia sclerotiorum mitovirus 3	NC_028475,NC_076556	1279099	
Sclerotinia sclerotiorum mitovirus 6	NC_023598,NC_076566	1435446	
Solanum chacoense mitovirus 1	NC_076524	2080464	
Tuber aestivum mitovirus	NC_015629	1037523	
Ophiostoma mitovirus 7	NC_076561	1387984	
Ceratobasidium mitovirus A	NC_076589	1964428	
Geopora sumneriana mitovirus 1	NC_076713	2596746	
Rhizophagus sp. RF1 mitovirus	NC_040656	758866	
Rhizoctonia oryzae-sativae mitovirus 1	NC_029991	1837089	
Rhizoctonia mitovirus 1 RS002	NC_076559	1461368	
Rhizoctonia solani mitovirus 23	NC_076681	2598975	
Rhizoctonia solani mitovirus 30	NC_076673	2599421	
Rhizoctonia solani mitovirus 39	NC_076733	2720486	
Tuber excavatum mitovirus	NC_076553	1092459	
Agaricus bisporus mitovirus 1	NC_076595	1945739	
Alternaria arborescens mitovirus 1	NC_030747	1826822	
Alternaria brassicicola mitovirus	NC_076575	1676469	
Botrytis cinerea mitovirus 2	NC_028471	1629665	
Botrytis cinerea mitovirus 4	NC_028474	1629667	
Cronartium ribicola mitovirus 1	NC_030393	1816484	
Cronartium ribicola mitovirus 2	NC_030395	1816485	
Cronartium ribicola mitovirus 3	NC_030396	1816486	
Cronartium ribicola mitovirus 4	NC_030397	1816487	
Cronartium ribicola mitovirus 5	NC_030399	1816488	
Diaporthe rudis mitovirus 1	NC_076881	2767013	
Entomophthora muscae mitovirus 1	NC_076699	2557974	
Entomophthora muscae mitovirus 2	NC_076700	2557975	
Entomophthora muscae mitovirus 3	NC_076701	2557976	
Entomophthora muscae mitovirus 4	NC_076702	2557977	
Entomophthora muscae mitovirus 5	NC_076703	2557978	
Entomophthora muscae mitovirus 6	NC_076704	2557979	
Entomophthora muscae mitovirus 7	NC_076705	2557980	
Entomophthora muscae mitovirus 8	NC_076530	2557981	
Fusarium andiyazi mitovirus 1	NC_076901	2716759	
Fusarium circinatum mitovirus 1	NC_076563	1452530	
Fusarium circinatum mitovirus 2-1	NC_076564	1459667	
Fusarium coeruleum mitovirus 1	NC_026622	1562380	
Fusarium globosum mitovirus 1	NC_026621	1562379	
Fusarium oxysporum f. sp. dianthi mitovirus 1	NC_076824	2710874	
Fusarium poae mitovirus 1	NC_030861	1848150	
Fusarium poae mitovirus 2	NC_030862	1848151	
Fusarium verticillioides mitovirus 1	NC_076900	2793953	
Gremmeniella mitovirus S1	NC_076517	204819	
Heterobasidion mitovirus 2	NC_076717	2603542	
Helicobasidium mompa mitovirus 1-18	NC_076514	233046	
Hymenoscyphus fraxineus mitovirus 1	NC_076571,NC_076656	1564031	
Leptosphaeria biglobosa mitovirus 1	NC_040819	2163916	
Nigrospora oryzae mitovirus 2	NC_076651	2497445	
Ophiostoma mitovirus 4	NC_004052	88387	
Ophiostoma mitovirus 5	NC_004053	88388	
Ophiostoma mitovirus 6	NC_004054	88389	
Puccinia striiformis mitovirus 1	NC_076654	2501658	
Sclerotinia nivalis mitovirus 1	NC_076587	1859165	
Sclerotinia sclerotiorum mitovirus 1	NC_076555	1133727	
Sclerotinia sclerotiorum mitovirus 1 HC025	NC_026510	1494074	
Sclerotinia sclerotiorum mitovirus 2	NC_040434	1133728	
Sclerotinia sclerotiorum mitovirus 4	NC_076557	1279100	
Sclerotinia sclerotiorum mitovirus 7	NC_076567	1435447	
Thielaviopsis basicola mitovirus	NC_012585	274584	
ssRNA phage ESE018	NC_073825	2786001	
ssRNA phage SRR5466364_1	NC_073826	2786395	
ssRNA phage SRR6960549_1	NC_073827	2786538	
ssRNA phage SRR7976357_1	NC_073829	2786738	
ssRNA phage SRR7976357_2	NC_073830	2786742	
ssRNA phage SRR6960509_1	NC_073793	2786520	
ssRNA phage SRR5466725_4	NC_073831	2786423	
ssRNA phage SRR6960551_1	NC_073833	2786547	
ssRNA phage SRR7976310_2	NC_073834	2786680	
ssRNA phage Esthiorhiza.2_15	NC_073835	2786031	
ssRNA phage Gerhypos.4_59	NC_073836	2786363	
ssRNA phage Zoerhiza.1_36	NC_073837	2786779	
ssRNA phage Zoerhiza.4_7	NC_073838	2786849	
ssRNA phage SRR7976325_1	NC_073828	2786696	
ssRNA phage Gephyllon.2_13	NC_073762	2786140	
ssRNA phage Gerhypos.2_20	NC_073763	2786253	
ssRNA phage SRR7976325_2	NC_073764	2786707	
ssRNA phage SRR7976356_2	NC_073845	2786733	
ssRNA phage SRR7976299_3	NC_073765	2786643	
ssRNA phage SRR5466365_1	NC_073766	2786400	
ssRNA phage SRR5466725_3	NC_073767	2786422	
ssRNA phage ESE020	NC_073768	2786003	
ssRNA phage SRR5466728_1	NC_073769	2786439	
ssRNA phage Gerhypos.4_36	NC_073770	2786338	
ssRNA phage Gephyllon.1_9	NC_073805	2786135	
ssRNA phage Gephyllon.4_5	NC_073771	2786185	
ssRNA phage SRR5467091_1	NC_073832	2786459	
ssRNA phage SRR7976301_2	NC_073772	2786663	
ssRNA phage Gerhypos.2_38	NC_073773	2786272	
ssRNA phage SRR6254353_1	NC_073774	2786493	
ssRNA phage SRR5466364_2	NC_073801	2786396	
ssRNA phage SRR5467091_3	NC_073802	2786468	
ssRNA phage SRR6960551_2	NC_073803	2786553	
ssRNA phage SRR7976325_3	NC_073804	2786718	
ssRNA phage SRR6960509_2	NC_073775	2786529	
ssRNA phage Gerhypos.2_22	NC_073776	2786255	
ssRNA phage Gephyllon.2_10	NC_073777	2786137	
ssRNA phage Gephyllon.3_17	NC_073778	2786157	
ssRNA phage SRR5467090_1	NC_073779	2786447	
ssRNA phage SRR7976356_4	NC_073780	2786735	
ssRNA phage Zoerhiza.4_1	NC_073781	2786825	
ssRNA phage SRR6050738_1	NC_073782	2786484	
ssRNA phage SRR7976310_1	NC_073783	2786671	
ssRNA phage SRR5466728_2	NC_073784	2786440	
ssRNA phage Gerhypos.2_18	NC_073785	2786250	
ssRNA phage Esthiorhiza.2_46	NC_073786	2786065	
ssRNA phage Gephyllon.1_7	NC_073840	2786133	
ssRNA phage Esthiorhiza.3_13	NC_073787	2786081	
ssRNA phage Gerhypos.1_5	NC_073788	2786234	
ssRNA phage Gerhypos.1_41	NC_073789	2786225	
ssRNA phage Gerhypos.4_10	NC_073790	2786310	
ssRNA phage Zoerhiza.3_1	NC_073791	2786818	
ssRNA phage SRR7976357_3	NC_073792	2786743	
ssRNA phage Zoerhiza.1_9	NC_073794	2786787	
ssRNA phage SRR5466337_1	NC_073795	2786387	
ssRNA phage SRR6960803_3	NC_073796	2786619	
ssRNA phage SRR7976356_3	NC_073797	2786734	
ssRNA phage SRR7976326_2	NC_073798	2786726	
ssRNA phage SRR5467139_1	NC_073799	2786476	
ssRNA phage SRR5467091_2	NC_073800	2786467	
ssRNA phage Gerhypos.4_28	NC_073806	2786329	
ssRNA phage Zoerhiza.4_15	NC_073807	2786831	
ssRNA phage Zoerhiza.1_12	NC_073808	2786753	
ssRNA phage Esthiorhiza.3_4	NC_073809	2786083	
ssRNA phage Gephyllon.2_11	NC_073810	2786138	
ssRNA phage SRR7976299_1	NC_073811	2786631	
ssRNA phage SRR7976299_2	NC_073812	2786642	
ssRNA phage SRR7976301_1	NC_073815	2786659	
ssRNA phage Gerhypos.2_9	NC_073813	2786281	
ssRNA phage SRR6960803_1	NC_073814	2786612	
ssRNA phage SRR7976357_4	NC_073816	2786744	
ssRNA phage SRR7976356_1	NC_073817	2786732	
ssRNA phage Zoerhiza.2_8	NC_073818	2786816	
ssRNA phage Esthiorhiza.2_7	NC_073819	2786074	
ssRNA phage Gephyllon.3_2	NC_073820	2786159	
ssRNA phage Gephyllon.4_3	NC_073821	2786183	
ssRNA phage SRR6960803_2	NC_073842	2786618	
ssRNA phage Esthiorhiza.4_2	NC_073822	2786100	
ssRNA phage Zoerhiza.3_2	NC_073823	2786819	
ssRNA phage Zoerhiza.1_27	NC_073824	2786769	
ssRNA phage Gerhypos.3_27	NC_073839	2786301	
ssRNA phage Gephyllon.2_6	NC_073841	2786145	
ssRNA phage Zoerhiza.2_26	NC_073843	2786806	
ssRNA phage Gerhypos.2_41	NC_073844	2786276	
ssRNA phage SRR5466725_2	NC_073846	2786418	
ssRNA phage SRR7976326_1	NC_073847	2786725	
ssRNA phage SRR6960549_2	NC_073848	2786539	
ssRNA phage SRR5466725_1	NC_073849	2786407	
ssRNA phage Gephyllon.1_12	NC_073850	2786111	
ssRNA phage Esthiorhiza.4_4	NC_073851	2786102	
ssRNA phage Gephyllon.1_2	NC_073852	2786119	
Acinetobacter phage AP205	NC_002700	154784	
ssRNA phage SRR5995670_1	NC_073853	2786478	
ssRNA phage SRR7976325_5	NC_073854	2786720	
ssRNA phage SRR6960803_4	NC_073855	2786620	
ssRNA phage SRR6960509_4	NC_073856	2786531	
ssRNA phage SRR5466725_8	NC_073857	2786427	
ssRNA phage Esthiorhiza.4_3	NC_073860	2786101	
ssRNA phage Gerhypos.4_17	NC_073861	2786317	
ssRNA phage SRR7976325_13	NC_073862	2786700	
ssRNA phage Esthiorhiza.2_44	NC_073863	2786063	
ssRNA phage Zoerhiza.1_26	NC_073864	2786768	
ssRNA phage Gerhypos.1_32	NC_073865	2786215	
ssRNA phage Gerhypos.3_3	NC_073866	2786302	
ssRNA phage Gerhypos.3_22	NC_073994	2786296	
ssRNA phage SRR5467091_8	NC_073868	2786473	
ssRNA phage SRR6960540_1	NC_073869	2786537	
ssRNA phage SRR7976357_8	NC_073870	2786748	
ssRNA phage SRR5466725_10	NC_073871	2786408	
ssRNA phage SRR6960551_10	NC_073873	2786548	
ssRNA phage SRR7976301_6	NC_073874	2786667	
ssRNA phage SRR6050738_2	NC_073876	2786485	
ssRNA phage SRR5995670_2	NC_073877	2786479	
ssRNA phage SRR7976310_8	NC_073878	2786686	
ssRNA phage SRR7976310_11	NC_073879	2786673	
ssRNA phage SRR6960551_4	NC_073880	2786555	
ssRNA phage SRR5208572_1	NC_073885	2786384	
ssRNA phage SRR6254351_1	NC_073886	2786492	
ssRNA phage SRR6960551_9	NC_073895	2786560	
ssRNA phage Gephyllon.2_12	NC_073896	2786139	
ssRNA phage SRR5466728_3	NC_073897	2786441	
ssRNA phage Gerhypos.4_61	NC_073898	2786366	
ssRNA phage Gerhypos.1_49	NC_073899	2786233	
ssRNA phage Esthiorhiza.4_9	NC_073900	2786107	
ssRNA phage SRR5466725_13	NC_073901	2786411	
ssRNA phage SRR7976299_8	NC_073902	2786648	
ssRNA phage SRR7976299_9	NC_073903	2786649	
ssRNA phage SRR6960507_7	NC_073904	2786517	
ssRNA phage AIN002	NC_073905	2785985	
ssRNA phage Gerhypos.1_9	NC_073906	2786240	
ssRNA phage Gerhypos.3_17	NC_073907	2786290	
ssRNA phage Gerhypos.3_9	NC_073908	2786308	
ssRNA phage SRR5208570_1	NC_073909	2786378	
ssRNA phage SRR5466727_3	NC_073910	2786432	
ssRNA phage SRR7976301_7	NC_073911	2786668	
ssRNA phage SRR6960799_14	NC_073912	2786570	
ssRNA phage SRR7976300_6	NC_073913	2786655	
ssRNA phage SRR7687334_1	NC_073914	2786630	
ssRNA phage SRR5466729_1	NC_073915	2786444	
ssRNA phage Gephyllon.4_13	NC_073918	2786171	
Enterobacteria phage C-1 INW-2012	NC_019920	1206313	
ssRNA phage AIN003	NC_073928	2785986	
ssRNA phage SRR7473382_3	NC_073929	2786628	
ssRNA phage SRR5466337_2	NC_073930	2786388	
ssRNA phage SRR5466727_2	NC_073931	2786431	
ssRNA phage SRR6960551_3	NC_073935	2786554	
ssRNA phage Gerhypos.4_15	NC_073936	2786315	
ssRNA phage Gephyllon.3_5	NC_073937	2786162	
ssRNA phage SRR5208570_2	NC_073938	2786379	
ssRNA phage EMS014	NC_073926	2785993	
ssRNA phage SRR7976356_5	NC_074064	2786736	
ssRNA phage Zoerhiza.1_16	NC_073939	2786757	
ssRNA phage Gephyllon.1_13	NC_074090	2786112	
ssRNA phage Gephyllon.4_23	NC_074026	2786182	
ssRNA phage Zoerhiza.4_27	NC_074027	2786844	
ssRNA phage ESE007	NC_073940	2785997	
ssRNA phage SRR6960799_25	NC_074100	2786582	
ssRNA phage Esthiorhiza.1_9	NC_073867	2786024	
ssRNA phage Gerhypos.2_26	NC_074107	2786259	
ssRNA phage SRR6960509_5	NC_074126	2786532	
ssRNA phage SRR7976323_2	NC_074029	2786689	
ssRNA phage SRR7976299_10	NC_074012	2786632	
Enterobacteria phage GA	NC_001426	12018	
ssRNA phage AVE017	NC_073941	2785989	
Escherichia phage MS2	NC_001417	12022	
Enterobacteria phage M	NC_019707	1235640	
ssRNA phage Gerhypos.4_32	NC_074056	2786334	
ssRNA phage Gerhypos.4_50	NC_074057	2786354	
ssRNA phage SRR7976325_17	NC_073942	2786704	
ssRNA phage EOC000	NC_074058	2785994	
ssRNA phage AVE019	NC_073943	2785991	
ssRNA phage SRR6960507_3	NC_073944	2786513	
ssRNA phage SRR6960549_3	NC_073946	2786540	
ssRNA phage SRR6960797_3	NC_073947	2786563	
ssRNA phage SRR5466365_2	NC_073948	2786401	
ssRNA phage Gephyllon.1_11	NC_073950	2786110	
ssRNA phage Zoerhiza.1_1	NC_073951	2786750	
ssRNA phage SRR5208575_1	NC_073952	2786386	
ssRNA phage Gephyllon.1_14	NC_073953	2786113	
ssRNA phage SRR5466725_16	NC_074562	2786414	
ssRNA phage SRR7976323_4	NC_073954	2786691	
ssRNA phage SRR6960507_5	NC_073881	2786515	
ssRNA phage SRR6960799_15	NC_073884	2786571	
Enterobacteria phage Hgal1	NC_019922	1206300	
ssRNA phage SRR6960803_8	NC_073955	2786624	
ssRNA phage SRR6960801_1	NC_074014	2786606	
ssRNA phage SRR6960803_12	NC_074025	2786615	
ssRNA phage Gephyllon.4_15	NC_074016	2786173	
ssRNA phage Gerhypos.1_35	NC_073956	2786218	
ssRNA phage SRR6960799_17	NC_073957	2786573	
ssRNA phage SRR6960799_18	NC_073958	2786574	
ssRNA phage SRR7976325_20	NC_073959	2786708	
ssRNA phage SRR7976357_9	NC_073960	2786749	
ssRNA phage SRR7976300_8	NC_073961	2786657	
ssRNA phage SRR6960803_11	NC_073962	2786614	
ssRNA phage SRR7976325_19	NC_073963	2786706	
ssRNA phage SRR7976327_1	NC_073964	2786730	
ssRNA phage SRR7976357_5	NC_073965	2786745	
ssRNA phage SRR6253161_1	NC_073966	2786488	
ssRNA phage SRR7976325_7	NC_073967	2786722	
ssRNA phage ESE058	NC_073968	2786006	
ssRNA phage SRR6960551_6	NC_073969	2786557	
ssRNA phage SRR5466725_11	NC_073970	2786409	
ssRNA phage SRR6960799_10	NC_073971	2786566	
ssRNA phage SRR6050738_3	NC_073972	2786486	
ssRNA phage SRR6960799_16	NC_073973	2786572	
ssRNA phage SRR7976325_15	NC_073974	2786702	
ssRNA phage SRR7473382_2	NC_073975	2786627	
ssRNA phage ESE006	NC_073859	2785996	
ssRNA phage SRR6960507_9	NC_073976	2786519	
ssRNA phage SRR6960799_27	NC_073977	2786584	
ssRNA phage SRR6960799_12	NC_073979	2786568	
ssRNA phage SRR5467090_4	NC_073980	2786453	
ssRNA phage ESE021	NC_073981	2786004	
ssRNA phage SRR6960509_9	NC_073982	2786536	
ssRNA phage Gephyllon.1_10	NC_073916	2786109	
ssRNA phage Esthiorhiza.2_49	NC_073917	2786068	
ssRNA phage Gerhypos.1_28	NC_073919	2786210	
ssRNA phage Gerhypos.1_29	NC_073920	2786211	
ssRNA phage SRR7976300_5	NC_074089	2786654	
ssRNA phage SRR6255733_2	NC_074070	2786498	
ssRNA phage Gerhypos.2_12	NC_073921	2786244	
ssRNA phage Gerhypos.4_66	NC_073923	2786371	
ssRNA phage Zoerhiza.1_38	NC_073924	2786781	
ssRNA phage Zoerhiza.3_4	NC_073925	2786821	
ssRNA phage SRR6960799_24	NC_074034	2786581	
ssRNA phage SRR5466725_17	NC_073945	2786415	
ssRNA phage Esthiorhiza.2_36	NC_073894	2786054	
ssRNA phage SRR5466727_4	NC_073983	2786433	
ssRNA phage SRR6960799_8	NC_073984	2786604	
ssRNA phage Gerhypos.4_67	NC_073922	2786372	
ssRNA phage SRR6960799_26	NC_074023	2786583	
ssRNA phage SRR5466725_19	NC_073985	2786417	
ssRNA phage SRR6049586_1	NC_073887	2786480	
ssRNA phage SRR6960799_21	NC_073888	2786578	
ssRNA phage SRR6960799_22	NC_073889	2786579	
ssRNA phage SRR6960799_23	NC_073890	2786580	
ssRNA phage SRR7976299_11	NC_073891	2786633	
ssRNA phage ESE029	NC_073892	2786005	
ssRNA phage Zoerhiza.2_7	NC_073893	2786815	
ssRNA phage SRR6960551_5	NC_073986	2786556	
ssRNA phage Esthiorhiza.4_19	NC_074015	2786099	
ssRNA phage Zoerhiza.2_10	NC_074018	2786789	
ssRNA phage Zoerhiza.2_30	NC_074019	2786811	
ssRNA phage Gerhypos.2_2	NC_074106	2786252	
ssRNA phage Zoerhiza.1_35	NC_074108	2786778	
ssRNA phage Esthiorhiza.2_40	NC_073988	2786059	
ssRNA phage Gerhypos.1_18	NC_073989	2786199	
ssRNA phage Gerhypos.1_48	NC_073990	2786232	
ssRNA phage Esthiorhiza.4_18	NC_073872	2786098	
ssRNA phage SRR6960509_8	NC_073991	2786535	
ssRNA phage SRR7976325_18	NC_073992	2786705	
ssRNA phage SRR5466725_18	NC_073993	2786416	
ssRNA phage SRR6960551_11	NC_073995	2786549	
ssRNA phage SRR5466725_12	NC_073996	2786410	
ssRNA phage ESE019	NC_073997	2786002	
ssRNA phage Gerhypos.2_8	NC_074114	2786280	
ssRNA phage Esthiorhiza.1_10	NC_073998	2786012	
ssRNA phage SRR6960507_8	NC_073999	2786518	
ssRNA phage SRR6255746_2	NC_074000	2786504	
ssRNA phage SRR7976300_3	NC_073875	2786652	
ssRNA phage Esthiorhiza.2_30	NC_074001	2786048	
ssRNA phage Esthiorhiza.2_51	NC_074002	2786071	
ssRNA phage SRR6255733_1	NC_074003	2786497	
ssRNA phage SRR6960802_1	NC_074004	2786607	
ssRNA phage SRR7976301_3	NC_074005	2786664	
ssRNA phage Gerhypos.3_19	NC_074006	2786292	
ssRNA phage Zoerhiza.2_29	NC_074007	2786809	
ssRNA phage Gerhypos.3_25	NC_074008	2786299	
ssRNA phage SRR7976301_4	NC_074009	2786665	
ssRNA phage SRR7976325_10	NC_074010	2786697	
ssRNA phage SRR6960802_2	NC_074024	2786608	
ssRNA phage SRR6255746_4	NC_073949	2786506	
ssRNA phage SRR5466725_9	NC_074011	2786428	
ssRNA phage Gephyllon.4_4	NC_074017	2786184	
ssRNA phage SRR6960799_20	NC_074020	2786577	
ssRNA phage SRR6960799_19	NC_074021	2786575	
ssRNA phage SRR5467090_6	NC_074022	2786455	
ssRNA phage SRR6960803_10	NC_073978	2786613	
ssRNA phage SRR5467139_2	NC_074028	2786477	
ssRNA phage SRR5466364_5	NC_074030	2786399	
ssRNA phage SRR5466366_1	NC_074031	2786403	
ssRNA phage SRR6960803_13	NC_074101	2786616	
ssRNA phage SRR7976323_3	NC_074035	2786690	
ssRNA phage SRR5466338_3	NC_074036	2786392	
ssRNA phage SRR6960803_9	NC_074037	2786625	
ssRNA phage SRR7976325_16	NC_074038	2786703	
ssRNA phage SRR7976299_7	NC_074039	2786647	
ssRNA phage AIN001	NC_074040	2785984	
ssRNA phage SRR7976299_6	NC_074041	2786646	
ssRNA phage Gerhypos.4_34	NC_074042	2786336	
ssRNA phage Gephyllon.3_11	NC_074032	2786151	
ssRNA phage Gerhypos.1_20	NC_074033	2786202	
ssRNA phage Gephyllon.4_12	NC_074043	2786170	
ssRNA phage Esthiorhiza.3_8	NC_074044	2786087	
ssRNA phage Gerhypos.1_22	NC_074045	2786204	
ssRNA phage Gerhypos.2_10	NC_074046	2786242	
ssRNA phage Gerhypos.2_19	NC_074047	2786251	
ssRNA phage SRR5208570_3	NC_074048	2786380	
ssRNA phage SRR5467137_1	NC_074049	2786475	
ssRNA phage SRR5466364_4	NC_074050	2786398	
ssRNA phage SRR5467090_5	NC_074051	2786454	
ssRNA phage SRR6960509_6	NC_074052	2786533	
Pseudomonas phage PP7	NC_001628	12023	
ssRNA phage LeviOr01	NC_055056	2848094	
Pseudomonas phage PRR1	NC_008294	12024	
ssRNA phage SRR5208570_4	NC_074053	2786381	
ssRNA phage Esthiorhiza.4_10	NC_074054	2786090	
ssRNA phage Gerhypos.1_43	NC_074055	2786227	
ssRNA phage SRR5466729_2	NC_074059	2786445	
ssRNA phage SRR6960799_11	NC_074060	2786567	
ssRNA phage Gephyllon.2_5	NC_074065	2786144	
ssRNA phage Zoerhiza.2_28	NC_074066	2786808	
ssRNA phage Zoerhiza.1_29	NC_074067	2786771	
ssRNA phage SRR6960507_4	NC_074068	2786514	
ssRNA phage Esthiorhiza.2_52	NC_074069	2786072	
ssRNA phage AIN000	NC_074071	2785983	
ssRNA phage SRR7976357_6	NC_074078	2786746	
ssRNA phage Gerhypos.4_30	NC_074079	2786332	
ssRNA phage SRR7473382_1	NC_074080	2786626	
Escherichia phage Qbeta	NC_001890	2789016	
Enterobacteria phage SP	NC_004301	12027	
ssRNA phage Esthiorhiza.2_3	NC_074072	2786047	
ssRNA phage Esthiorhiza.2_38	NC_074073	2786056	
ssRNA phage Esthiorhiza.2_37	NC_074074	2786055	
ssRNA phage Gerhypos.2_14	NC_074075	2786246	
ssRNA phage Gerhypos.2_34	NC_074076	2786268	
ssRNA phage Gerhypos.4_2	NC_074077	2786320	
ssRNA phage Esthiorhiza.2_6	NC_074081	2786073	
ssRNA phage Esthiorhiza.2_14	NC_074082	2786030	
ssRNA phage Gephyllon.4_21	NC_074083	2786180	
ssRNA phage Gephyllon.3_4	NC_074084	2786161	
ssRNA phage Gerhypos.2_6	NC_074085	2786278	
ssRNA phage SRR5466338_2	NC_074086	2786391	
ssRNA phage SRR6253161_2	NC_074087	2786489	
ssRNA phage SRR5466725_14	NC_073932	2786412	
ssRNA phage SRR6960509_12	NC_074088	2786523	
ssRNA phage SRR6960507_6	NC_074091	2786516	
ssRNA phage SRR7976301_8	NC_074092	2786669	
ssRNA phage SRR5467091_7	NC_074093	2786472	
ssRNA phage SRR7976325_9	NC_074094	2786724	
ssRNA phage Gephyllon.4_22	NC_073987	2786181	
ssRNA phage SRR7976310_10	NC_074098	2786672	
ssRNA phage SRR5466364_3	NC_074095	2786397	
ssRNA phage SRR6960509_7	NC_074096	2786534	
ssRNA phage SRR6960803_7	NC_074097	2786623	
ssRNA phage SRR6960799_13	NC_074099	2786569	
ssRNA phage SRR6050738_4	NC_074102	2786487	
ssRNA phage SRR6960551_7	NC_074103	2786558	
ssRNA phage SRR7976301_5	NC_074104	2786666	
ssRNA phage SRR7976310_7	NC_074105	2786685	
ssRNA phage SRR7976300_4	NC_074109	2786653	
ssRNA phage ESO010	NC_074110	2786010	
ssRNA phage SRR7976310_5	NC_074111	2786683	
ssRNA phage SRR5466725_15	NC_074112	2786413	
ssRNA phage SRR6960803_5	NC_074113	2786621	
ssRNA phage Esthiorhiza.1_13	NC_074115	2786015	
ssRNA phage SRR5466727_1	NC_074133	2786429	
ssRNA phage SRR6960799_9	NC_073927	2786605	
ssRNA phage Esthiorhiza.4_1	NC_074116	2786089	
ssRNA phage SRR5466729_3	NC_074117	2786446	
ssRNA phage SRR6960509_10	NC_074118	2786521	
ssRNA phage SRR5466365_3	NC_074119	2786402	
ssRNA phage SRR7976326_4	NC_074120	2786728	
ssRNA phage SRR7976310_12	NC_074121	2786674	
ssRNA phage SRR7976325_12	NC_073933	2786699	
ssRNA phage SRR7976326_3	NC_074013	2786727	
ssRNA phage Gerhypos.4_13	NC_073934	2786313	
ssRNA phage Esthiorhiza.1_8	NC_074122	2786023	
ssRNA phage SRR5467090_2	NC_074125	2786451	
ssRNA phage SRR5467090_3	NC_074061	2786452	
ssRNA phage SRR5467091_6	NC_074062	2786471	
ssRNA phage SRR6960803_6	NC_074063	2786622	
ssRNA phage SRR6960551_8	NC_073882	2786559	
ssRNA phage SRR6960797_2	NC_073883	2786562	
ssRNA phage SRR7976325_14	NC_074123	2786701	
ssRNA phage SRR7976357_7	NC_074124	2786747	
ssRNA phage SRR6960507_2	NC_074127	2786512	
ssRNA phage SRR7976310_6	NC_074128	2786684	
ssRNA phage Esthiorhiza.2_35	NC_074129	2786053	
ssRNA phage Gephyllon.3_12	NC_074130	2786152	
ssRNA phage Gerhypos.4_49	NC_074131	2786352	
ssRNA phage Gerhypos.3_1	NC_074132	2786282	
ssRNA phage ESE005	NC_074134	2785995	
ssRNA phage SRR6960549_4	NC_074135	2786541	
ssRNA phage SRR6960509_11	NC_074136	2786522	
ssRNA phage SRR5466338_1	NC_074137	2786390	
ssRNA phage SRR7976300_7	NC_073858	2786656	
ssRNA phage SRR7976325_21	NC_074138	2786709	
ssRNA phage SRR7976356_6	NC_074139	2786737	
ssRNA phage SRR7976325_22	NC_074140	2786710	
ssRNA phage SRR5467091_5	NC_074141	2786470	
ssRNA phage SRR7976323_1	NC_074142	2786688	
ssRNA phage SRR7976325_8	NC_074143	2786723	
ssRNA phage Gephyllon.1_22	NC_074144	2786122	
ssRNA phage SRR7976300_9	NC_074146	2786658	
ssRNA phage SRR7976299_12	NC_074147	2786634	
ssRNA phage SRR7976299_14	NC_074148	2786636	
ssRNA phage SRR6050698_1	NC_074149	2786482	
ssRNA phage SRR7976299_15	NC_074150	2786637	
ssRNA phage SRR6960509_14	NC_074151	2786525	
ssRNA phage SRR7976299_13	NC_074152	2786635	
ssRNA phage SRR6255733_3	NC_074153	2786499	
ssRNA phage SRR5208570_5	NC_074154	2786382	
ssRNA phage SRR5208572_2	NC_074159	2786385	
ssRNA phage SRR6960799_30	NC_074160	2786588	
ssRNA phage SRR6960551_13	NC_074161	2786551	
ssRNA phage SRR6960797_4	NC_074162	2786564	
ssRNA phage SRR6960799_29	NC_074163	2786586	
